fund_code,fund_name,stock_code,stock_name,weight,status
008282,国泰CES半导体芯片行业ETF联接C,,数据获取失败，请手动补充,,failed
023536,博时中证金融科技主题ETF联接A,,数据获取失败，请手动补充,,failed
