fund_code,type,nav,shares,trade_date,note
012734,buy,1.7573,227.62,2026-02-06
012734,buy,1.8396,217.44,2026-02-10
012734,buy,1.7724,225.68,2026-03-09
012734,buy,1.7673,339.50,2026-03-16
012734,buy,1.7490,457.4,2026-03-20
012734,sell,2.0421,2201.14,2026-04-30
012734,sell,2.1422,1700,2026-06-08
012734,sell,2.3164,900.76,2026-07-03
012734,sell,2.3276,900.76,2026-07-13

