fund_code,fund_name,report_date,stock_code,stock_name,weight,status
012734,易方达中证人工智能主题ETF联接C,2026-06-30,2415,海康威视,0.06,ok
012734,易方达中证人工智能主题ETF联接C,2026-06-30,688795,摩尔线程,0.06,ok
012734,易方达中证人工智能主题ETF联接C,2026-06-30,2281,光迅科技,0.06,ok
014143,银河创新混合C,2026-06-30,688041,海光信息,0.0989,ok
014143,银河创新混合C,2026-06-30,688256,寒武纪,0.0961,ok
014143,银河创新混合C,2026-06-30,688981,中芯国际,0.094,ok
014143,银河创新混合C,2026-06-30,688347,华虹宏力,0.0916,ok
014143,银河创新混合C,2026-06-30,688012,中微公司,0.0905,ok
014143,银河创新混合C,2026-06-30,688249,晶合集成,0.0897,ok
014143,银河创新混合C,2026-06-30,688536,思瑞浦,0.0858,ok
014143,银河创新混合C,2026-06-30,2371,北方华创,0.0856,ok
014143,银河创新混合C,2026-06-30,300661,圣邦股份,0.0772,ok
014143,银河创新混合C,2026-06-30,603986,兆易创新,0.0534,ok
014419,西部利得CES芯片指数增强C,2026-06-30,603986,兆易创新,0.0922,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688256,寒武纪,0.0794,ok
014419,西部利得CES芯片指数增强C,2026-06-30,2371,北方华创,0.0594,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688008,澜起科技,0.058,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688041,海光信息,0.0548,ok
014419,西部利得CES芯片指数增强C,2026-06-30,981,中芯国际,0.0515,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688012,中微公司,0.051,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688525,佰维存储,0.0274,ok
014419,西部利得CES芯片指数增强C,2026-06-30,688072,拓荆科技,0.0247,ok
014419,西部利得CES芯片指数增强C,2026-06-30,600584,长电科技,0.0234,ok
015751,景顺长城品质长青混合C,2026-06-30,688498,源杰科技,0.0986,ok
015751,景顺长城品质长青混合C,2026-06-30,300502,新易盛,0.097,ok
015751,景顺长城品质长青混合C,2026-06-30,300308,中际旭创,0.0933,ok
015751,景顺长城品质长青混合C,2026-06-30,981,中芯国际,0.0922,ok
015751,景顺长城品质长青混合C,2026-06-30,600183,生益科技,0.0888,ok
015751,景顺长城品质长青混合C,2026-06-30,2436,兴森科技,0.0859,ok
015751,景顺长城品质长青混合C,2026-06-30,9992,泡泡玛特,0.0752,ok
015751,景顺长城品质长青混合C,2026-06-30,2273,水晶光电,0.0703,ok
015751,景顺长城品质长青混合C,2026-06-30,2916,深南电路,0.0607,ok
015751,景顺长城品质长青混合C,2026-06-30,2938,鹏鼎控股,0.0562,ok
015902,博时优质精选混合A,2026-06-30,300502,新易盛,0.1004,ok
015902,博时优质精选混合A,2026-06-30,300308,中际旭创,0.0958,ok
015902,博时优质精选混合A,2026-06-30,600183,生益科技,0.0955,ok
015902,博时优质精选混合A,2026-06-30,688498,源杰科技,0.0928,ok
015902,博时优质精选混合A,2026-06-30,2273,水晶光电,0.0733,ok
015902,博时优质精选混合A,2026-06-30,9992,泡泡玛特,0.0724,ok
015902,博时优质精选混合A,2026-06-30,2436,兴森科技,0.064,ok
015902,博时优质精选混合A,2026-06-30,1318,毛戈平,0.0596,ok
015902,博时优质精选混合A,2026-06-30,6181,老铺黄金,0.0544,ok
015902,博时优质精选混合A,2026-06-30,2916,深南电路,0.0538,ok
017811,东方人工智能主题混合C,2026-06-30,688361,中科飞测,0.0955,ok
017811,东方人工智能主题混合C,2026-06-30,688037,芯源微,0.0919,ok
017811,东方人工智能主题混合C,2026-06-30,688012,中微公司,0.0912,ok
017811,东方人工智能主题混合C,2026-06-30,688120,华海清科,0.0908,ok
017811,东方人工智能主题混合C,2026-06-30,2371,北方华创,0.0892,ok
